LakeID,Location_ID,LakeNum,LakeName,County,Town,Area (ac),Area (ha),WshedArea (ac),WshedArea (ha),Wshed/Area,Zmax (ft),Zmax (m),Zmean (ft),"Zmean (m), orange=calc.",ZmeanCalc?,Residence,Sampling Years,Dlatitude,Dlongitude,Class,DamClass,Potable Water?,Swimming beach?,Supported Uses,Fish impacts?,Invasive Plants?,Invasive Animals?,Distance to Nearby AIS (mi),Name of Nearest Infected Lake (fixed?),>1HAB Notification?,Multiple Years HAB Notification?,PotableWater PWL,Bathing  PWL,Recreation PWL,AquaticLife PWL,Aesthetics PWL,Habitat PWL,FishConsumption PWL,Date 1st HAB listing 19,#Wks HAB Notification 19,#Wks HAB Notification 19,#Wks HAB Notification 18,#Wks HAB Updates 18,#Wks HAB Updates 17,#Wks HAB Updates 16,#Wks HAB Updates 15,#Wks HAB Updates 14,#Wks HAB Updates 13,#Wks HAB Updates 12,Weed Management?,Lake Assn Name,Sampled >2013?,18 Samplers,CSLAP Region,Watershed,Exp Region,ExpRegion2,CSLAP,2019 Sample?,Yrs Last 5,#Yrs>1HABsUpdates,Shore HABs PWS Score,Shore HABs Rec Score,Program,Zebras,Runoff (m),PWS-Days Closed,PWS-Treatments,PWS-MCL Violations-# Reporting Quarters,Beach-#Days Closures,Beach-Control measures,Algae Control Measures,Weed Control Measures,Plants,Fish Stocking,Comments
1104ADI0587A,1104ADI0587A_C,7,Adirondack Lake,Hamilton,Indian Lake,218,88,667,270,3.1,16,4.8,7.9,2.4,no,0.69,1986-1989,43.78863,-74.25968,B,C,no,,recreation,none reported,none reported,banded mystery snail,0,,,,NA,Fully supported,Stressed,Fully supported,Fair,Good,Fully supported,NA,NA,,0,0,0,0,0,0,0,0,grass carp,,,,Adirondack,Upper Hudson River,eastern Adk,eastern Adk,CSLAP,no,,0,0,0,CSLAP,no,1.133656412,,,,,,,grass carp 2012,,,grass carp every 3-5 years
1401ANA0251,1401ANA0251_C,53,Anawanda Lake,Sullivan,Callicoon Center,38,16,198,80,5.2,45.3,13.8,21.7,6.6,no,2.5,"1988-1993, 1995-1996, 1998-2019",41.85708,-74.963,B(T),A,no,lake association beach,recreation and public bathing,none reported,none reported,none reported,14.2,Somerset Lake,,no,NA,Fully supported,Fully supported,Fully supported,Unknown,Unknown,Fully supported,NA,NA,,0,0,0,0,0,0,1,0,,Anawanda Lake Owners' Association,yes,"Karl Stahl, Michelle Brockner, Matt Novak",Downstate,Delaware River,Mid Atlantic,Mid Hudson,CSLAP,yes,,1,1,0,CSLAP,no,0.5115,,,,,,,,,,
0601ARN0362,0601ARN0362_C,32,Arnold Lake,Otsego,Milford,64,26,267,108,4.2,,,27.9,8.5,no,4.01,"1987-1991, 1995",42.61106,-75.00497,B(T),,no,,recreation,none reported,none reported,none reported,14.1,Canadarago Lake,,,NA,Fully supported,Fully supported,Fully supported,Good,Good,Fully supported,NA,NA,,0,0,0,0,0,0,0,0,,Arnold Lake Association,,,,Susquehanna River,,Central NY,CSLAP,no,,0,0,0,CSLAP,no,0.508130081,,,,,,,,,,
1004AUG0213,1004AUG0213_C,120,Augur Lake,Essex,Chesterfield,378,153,2802,1134,7.4,21,6.4,9.9,3,no,1.06,"1997-2001, 2003-2019",44.45996,-73.50008,A,,yes,Camp Whippoorwill for Girls; Camp Lincoln for Boys,"potable water, recreation, and public bathing",none reported,Eurasian watermilfoil,none reported,0,,,no,Fully supported,Fully supported,Stressed,Fully supported,Good,Poor,Fully supported,NA,NA,,0,0,0,0,0,0,0,0,,Augur Lake Property Owners Association ,yes,"Paul, Kay and Eric Knott, Noel Cacchio",Adirondack,Lake Champlain,eastern Adk,eastern Adk,CSLAP,no,,0,0,0,CSLAP,no,0.381097561,,,,,,,,,,grass carp 1998
1102BAB1109,1102BAB1109_C,29,Babcock Lake,Rensselaer,Grafton,45,18,297,120,6.6,37.7,11.5,15.1,4.6,no,2.1,"1987-1995, 1997-2019",42.81739,-73.39949,A,A,yes,lake association beach,"potable water, recreation, and public bathing",none reported,none reported,Chinese mystery snail,3,Long Pond,,no,Fully supported,Fully supported,Fully supported,Fully supported,Good,Good,Fully supported,NA,NA,,0,0,0,0,0,0,0,0,,Babcock Lake Estates ,yes,"Jan Shields, Megan Myers, Jim Van Hoesen",Central,Upper Hudson River,eastern Adk,mid Hudson,CSLAP,yes,,0,0,0,CSLAP,no,0.330396825,,,,,,,,,,fill/excavation in lake
1101BAL1090,1101BAL1090_MAIN,77,Ballston Lake,Saratoga,Ballston,278,112,6326,2560,22.8,116,35.4,22.3,6.8,no,0.75,1991-2019,42.93652,-73.85863,A,,yes,,potable water and recreation,none reported,Eurasian watermilfoil; water chestnut,zebra mussels,0,,"2013, 2014, 2017",yes,Stressed,Stressed,Impaired,Fully supported,Fair,Fair,Fully supported,NA,NA,,6,3,3,0,0,2,4,0,,Ballston Lake Improvement Association,yes,"Peter Herman, Dave Piece, Peter Voss, Lawrence Hausheer",Central,Upper Hudson River,eastern Adk,Mohawk,CSLAP,yes,,3,2,3,CSLAP,yes,0.4,,,,,,,,,,"copper sulfate 1999, 1997, 1996"
1101BAL1090,1101BAL1090_MAIN,77,Ballston Lake-shallow site,Saratoga,Ballston,263,107,6326,2560,24,16.4,5,22.3,6.8,no,0.69,"2007-2008, 2011-2019",42.93652,-73.85863,A,,yes,,potable water and recreation,none reported,Eurasian watermilfoil; water chestnut,zebra mussels,0,,"2013, 2014, 2017",yes,Stressed,Stressed,Impaired,Fully supported,Fair,Fair,Fully supported,NA,NA,,6,3,3,0,0,2,4,0,,Ballston Lake Improvement Association,yes,"Peter Herman, Dave Piece, Peter Voss, Drew Hamelink and Lawrence Hausheer",Central,Upper Hudson River,eastern Adk,Mohawk,CSLAP,yes,,3,2,3,CSLAP,yes,0.432208518,,,,,,,,,,
1301BAR0181,1301BAR0181_C,257,Barger Pond,Putnam,Putnam Valley,30,12,1073,434,35.7,13.4,4.1,6,1.8,y,0.17,2018-2019,42.93834,-73.85786,B,,no,Barger Pond Beach,recreation and public bathing,none reported,none reported,Chinese mystery snail,0,,"2017, 2018, 2019",yes,NA,Fully supported,Stressed,Fully supported,Fair,Fair,Fully supported,6/1/2019,9/7/2019,,6,3,2,1,,,,,,,yes,"Tony Morosco, Thim Oung, Julie Ruben, Natasha Prenn",,Lower Hudson River,,,CSLAP,yes,,,,,CSLAP,no,0.662941326,,,,,,,,,,
1302BAR0071,1302BAR0071_C,229,Barrett Pond,Putnam,Kent,70,29,410,166,5.8,39.4,12,16.1,4.9,no,1.4,"2011-2015, 2018-2019",41.43395,-73.74063,B,A,no,,recreation,none reported,none reported,none reported,2.4,Lake Tibet,2019,no,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,6/17/2019,6/17/2019,,0,0,0,0,0,0,0,0,"suction harvesting 2017, 2013",China-Barrett Homeowners Association,yes,"Dora Keller, Scott Keller, Richard Lewis",Downstate,Lower Hudson River,Hudson Valley,lower Hudson,CSLAP,yes,,0,0,0,CSLAP,no,0.6,,,,,,,"suction harvesting 2017, 2013",,,
1005BAR0338,1005BAR0338_C,121,Bartlett Pond,Essex,Essex,70,29,2698,1092,38.3,19.7,6,9.3,2.8,no,0.19,1997-2000,44.10617,-73.51075,AA(T),A,yes,,potable water and recreation,none reported,Eurasian watermilfoil,none reported,0,,,no,Fully supported,Stressed,Impaired,Fully supported,Good,Poor,Fully supported,NA,NA,,0,0,0,0,0,0,0,0,,,,,,Lake Champlain,eastern Adk,eastern Adk,CSLAP,no,,0,0,0,CSLAP,no,0.381097561,,,,,,,,,,
